chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200306	0.85	0.94	0.95	0.86	0.94	0.91	0.91	0.88	0.84	0.67	0.83	0.57	0.95	0.79
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200312	0.87	0.92	0.73	0.77	0.98	1.00	0.95	0.79	0.90	0.92	0.98	0.74	0.93	0.79
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	474470	0.33	0.31	0.54	0.17	0.33	0.14	0.33	0.58	0.18	0.21	0.43	0.20	0.14	0.56
KN805670.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805670.1:1:527936:1 REF	459533	0.12	0.21	0.13	0.17	0.11	0.16	0.23	0.36	0.33	0.19	0.18	0.14	0.14	0.16
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	9957	1.00	1.00	0.92	1.00	0.79	0.78	0.94	1.00	0.94	1.00	0.97	1.00	1.00	0.87
KN805680.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805680.1:1:554768:1 REF	500372	0.63	0.56	0.57	0.69	0.73	0.70	0.81	0.53	0.70	0.68	0.60	0.87	0.82	0.79
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140343	0.62	0.68	0.71	0.76	0.58	0.76	0.75	0.75	0.74	0.72	0.85	0.58	0.35	0.78
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	375041	0.60	0.63	0.73	0.75	0.58	0.76	0.70	0.70	0.74	0.69	0.85	0.60	0.38	0.78
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474550	0.84	0.58	0.96	0.67	0.67	0.80	0.83	0.71	0.78	0.73	0.78	0.92	0.45	0.81
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474582	0.89	0.85	0.73	0.95	0.88	0.70	0.92	0.76	0.85	0.82	0.85	0.75	0.83	0.82
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474584	0.89	0.80	0.92	0.84	0.94	0.90	0.95	0.86	0.85	0.75	0.94	0.75	0.83	1.00
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474589	0.89	0.95	0.92	0.84	0.94	0.90	0.95	0.71	0.85	0.86	0.91	0.75	0.67	0.93
KN805741.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805741.1:1:477986:1 REF	373838	0.86	0.56	0.39	0.73	0.94	0.33	0.71	0.88	0.60	0.80	0.70	0.58	0.47	0.56
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122053	0.95	0.86	0.88	0.92	0.77	0.86	0.88	0.85	0.83	0.93	0.91	0.81	0.69	0.79
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122065	0.94	0.95	0.97	0.97	0.93	0.92	0.87	0.89	0.94	0.93	0.92	0.93	0.94	0.87
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122071	0.91	0.79	0.91	0.93	0.93	0.89	0.76	0.97	0.94	0.89	0.91	0.90	0.94	0.95
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122078	0.85	0.88	0.91	0.93	0.93	0.97	0.84	0.91	0.93	0.88	0.87	0.87	0.71	0.97
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500227	0.74	0.67	0.79	0.47	0.65	0.87	0.75	0.58	0.64	0.64	0.87	0.73	1.00	0.76
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	369242	0.86	0.77	0.90	0.38	0.65	1.00	0.78	0.70	0.75	0.84	0.79	0.78	0.69	0.76
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	253072	0.58	0.91	0.71	0.76	0.50	0.52	0.61	0.56	0.64	0.54	0.62	0.53	0.50	0.60
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185653	0.66	0.69	0.68	0.67	0.57	1.00	0.95	0.92	0.85	1.00	0.96	0.99	0.95	1.00
KN805792.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805792.1:1:470279:1 REF	275392	0.79	0.83	0.91	0.34	0.85	0.54	0.47	0.56	0.21	0.77	0.32	0.47	0.19	0.44
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202789	0.78	0.91	0.98	0.84	0.79	0.68	0.90	0.87	0.85	0.78	0.87	0.92	0.92	0.92
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202796	0.56	0.50	0.75	0.47	0.44	0.57	0.56	0.83	0.72	0.56	0.73	0.59	0.52	0.42
KN805807.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805807.1:1:376875:1 REF	268892	0.81	0.95	0.65	1.00	0.80	0.23	0.75	0.87	0.62	0.84	0.75	0.55	0.42	0.84
KN805812.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805812.1:1:370439:1 REF	171345	0.72	0.52	0.58	0.53	0.78	0.38	0.74	0.83	0.77	0.86	0.89	0.82	0.68	0.42
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157881	0.76	0.91	0.90	1.00	0.93	0.92	0.79	0.87	0.94	0.69	0.85	0.79	0.91	1.00
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157888	0.76	1.00	0.81	1.00	0.80	0.92	0.63	0.88	0.88	0.79	0.76	0.93	0.83	0.85
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257961	0.97	0.97	0.96	1.00	0.92	1.00	0.93	1.00	0.92	0.86	0.96	0.90	0.40	0.94
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257969	0.90	0.97	0.96	0.96	0.66	1.00	0.88	0.90	0.95	0.81	0.98	0.94	1.00	0.94
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	53696	0.39	0.73	0.24	0.58	0.56	1.00	0.74	0.58	0.89	0.47	0.88	0.23	0.17	0.40
KN805855.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805855.1:1:400928:1 REF	227792	0.86	0.86	0.83	0.91	1.00	0.90	0.89	0.88	0.95	0.95	0.64	0.92	0.80	0.86
KN805894.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805894.1:1:340727:1 REF	224869	0.34	0.45	0.35	0.24	0.36	0.33	0.28	0.33	0.35	0.31	0.21	0.28	0.68	0.39
KN805897.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805897.1:1:303231:1 REF	94541	0.85	0.85	0.80	0.93	0.92	0.70	0.92	0.86	0.91	0.87	0.78	0.91	0.54	0.72
KN805964.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805964.1:1:260577:1 REF	58434	0.42	0.64	0.35	0.40	0.89	0.40	0.46	0.78	0.62	0.82	0.79	0.62	0.12	0.53
KN805994.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805994.1:1:3589954:1 REF	50846	0.86	0.81	0.68	0.40	0.68	0.86	0.87	1.00	0.96	0.89	0.93	0.64	0.70	0.89
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95538	0.56	0.90	0.73	0.90	0.91	0.86	0.86	0.57	0.67	0.79	0.95	0.62	0.67	0.65
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95542	0.50	0.65	0.45	0.95	0.88	0.82	0.81	0.62	0.57	0.79	0.84	0.67	0.58	0.69
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95549	0.47	0.85	0.50	0.82	0.86	0.82	0.76	0.62	0.67	0.79	0.89	0.69	0.83	0.66
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95573	0.15	0.69	0.18	0.78	0.28	0.59	0.54	0.42	0.24	0.33	0.50	0.48	0.67	0.72
KN806023.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806023.1:1:289347:1 REF	141281	0.87	0.98	0.89	1.00	1.00	0.97	0.93	0.34	0.27	0.73	0.80	0.95	1.00	0.94
KN806024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806024.1:1:252754:1 REF	176001	0.29	0.10	0.44	0.40	0.55	0.25	0.58	0.26	0.32	0.33	0.40	0.70	0.41	0.71
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	17708	0.57	0.84	0.74	0.85	0.74	0.68	0.83	0.73	0.68	0.74	0.72	0.56	0.47	0.87
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	17723	0.45	0.79	0.46	0.62	0.74	0.68	0.61	0.59	0.66	0.65	0.55	0.38	0.79	0.55
KN806059.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806059.1:1:194252:1 REF	88694	0.53	0.48	0.50	0.42	0.86	0.30	0.67	0.57	0.61	0.80	0.81	0.89	0.57	0.46
KN806105.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806105.1:1:234393:1 REF	174465	0.89	0.92	0.87	0.85	0.90	0.85	0.94	0.94	0.89	0.81	0.88	0.75	1.00	0.87
KN806105.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806105.1:1:234393:1 REF	174470	0.86	0.88	0.90	0.80	0.95	0.85	0.97	0.95	0.82	0.84	0.97	0.81	1.00	0.98
KN806105.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806105.1:1:234393:1 REF	174472	0.84	0.93	0.73	0.95	0.81	0.69	0.92	0.95	0.84	0.84	0.91	0.81	0.82	0.82
KN806156.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806156.1:1:208455:1 REF	139712	0.59	0.39	0.26	0.50	0.50	0.58	0.62	0.57	0.64	0.62	0.64	0.51	0.31	0.72
KN806184.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806184.1:1:171743:1 REF	81239	0.89	0.75	0.89	0.38	0.63	1.00	0.72	0.68	0.76	0.82	0.80	0.76	0.67	0.70
KN806188.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806188.1:1:200502:1 REF	132409	0.97	0.92	0.83	1.00	0.94	1.00	0.95	0.74	0.92	0.87	0.85	0.89	0.71	0.85
KN806188.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806188.1:1:200502:1 REF	132414	0.93	0.85	0.92	0.88	0.91	1.00	0.94	0.85	0.92	0.94	0.88	0.89	0.82	0.92
KN806188.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806188.1:1:200502:1 REF	132416	0.90	0.69	0.89	0.88	0.78	0.95	0.94	0.83	0.85	0.87	0.94	0.78	0.82	0.83
KN806201.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806201.1:1:185770:1 REF	72506	0.52	0.79	0.32	0.48	0.45	0.25	0.76	0.40	0.59	1.00	0.77	0.48	0.39	0.55
KN806201.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806201.1:1:185770:1 REF	72508	0.13	0.33	0.19	0.12	0.47	0.25	0.51	0.36	0.45	0.79	0.62	0.44	0.39	0.68
KN806209.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806209.1:1:186830:1 REF	136488	0.73	1.00	0.82	0.73	0.75	1.00	0.93	0.88	1.00	0.90	0.86	0.97	1.00	0.95
KN806234.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806234.1:1:158006:1 REF	107796	0.52	0.80	0.42	0.50	0.45	0.25	0.76	0.40	0.59	0.97	0.77	0.48	0.39	0.55
KN806234.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806234.1:1:158006:1 REF	107798	0.13	0.37	0.16	0.16	0.47	0.25	0.52	0.36	0.45	0.77	0.62	0.44	0.39	0.67
KN806244.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806244.1:1:151301:1 REF	95807	0.61	0.67	0.71	0.75	0.61	0.76	0.75	0.75	0.74	0.70	0.85	0.59	0.35	0.78
KN806248.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806248.1:1:182072:1 REF	90335	0.54	0.65	0.64	0.22	0.67	0.31	0.93	0.83	0.52	0.75	0.63	0.84	0.63	0.80
KN806253.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806253.1:1:183323:1 REF	143586	0.44	0.42	0.39	0.50	0.60	0.76	0.55	0.61	0.66	0.56	0.64	0.53	0.26	0.68
KN806365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806365.1:1:131031:1 REF	11550	0.88	0.83	0.87	0.77	0.80	0.68	0.85	0.85	0.81	0.86	0.87	0.86	0.66	0.75
KN806713.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806713.1:1:47674:1 REF	30862	0.60	0.70	0.81	0.73	0.80	0.65	0.81	0.77	0.63	0.72	0.74	0.60	0.50	0.83
KN806713.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806713.1:1:47674:1 REF	30869	0.55	0.65	0.67	0.73	0.68	0.70	0.77	0.69	0.56	0.64	0.74	0.60	0.20	0.65
KN806722.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806722.1:1:53652:1 REF	1909	0.57	0.87	0.74	0.52	0.75	0.53	0.69	0.66	0.79	0.39	0.82	0.71	0.60	0.74
KN806729.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806729.1:1:48604:1 REF	14618	0.84	0.81	0.83	0.50	0.71	1.00	0.94	0.89	0.92	0.73	0.94	0.75	0.60	1.00
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24186	0.86	0.80	0.82	0.65	0.79	0.95	0.89	0.79	0.88	0.91	0.86	0.80	0.55	0.86
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24188	0.86	1.00	0.95	0.70	0.85	0.95	0.91	0.83	0.84	0.97	0.80	0.92	0.55	0.96
KN807043.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807043.1:1:32169:1 REF	24193	0.86	0.87	0.89	0.85	0.85	0.89	0.83	0.79	0.70	0.94	0.89	0.88	0.27	0.90
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20793	0.63	0.75	0.70	0.48	0.76	0.67	0.66	0.70	0.68	0.59	0.63	0.53	0.47	0.67
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20835	0.87	0.93	0.88	0.93	0.89	0.97	0.95	0.93	0.98	0.88	0.89	0.86	0.61	0.86
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	20843	0.87	0.86	0.80	0.73	0.86	0.88	0.86	0.83	0.91	0.78	0.89	0.84	0.44	0.83
KN807102.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807102.1:1:27860:1 REF	21189	0.97	0.76	0.56	0.28	0.90	0.45	0.83	0.91	0.69	0.97	0.85	1.00	0.18	0.98
KN807290.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807290.1:1:24974:1 REF	7512	0.86	0.86	0.70	0.55	0.91	0.75	0.92	0.77	0.77	0.73	0.97	0.80	0.52	0.91
KN807329.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807329.1:1:23263:1 REF	5968	0.84	0.63	0.68	0.27	0.94	0.94	0.72	0.78	0.80	0.80	0.86	0.70	0.45	0.73
KN807329.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807329.1:1:23263:1 REF	5972	0.76	0.88	0.67	0.97	0.94	0.75	0.83	0.84	0.85	0.83	0.93	0.58	0.67	0.82
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16360	0.93	0.93	0.96	0.88	1.00	1.00	0.95	0.90	0.49	0.94	0.69	0.73	1.00	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16386	0.96	0.93	0.94	1.00	0.99	1.00	0.96	0.88	1.00	1.00	0.70	0.65	1.00	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16392	0.97	0.93	0.94	0.81	0.99	1.00	0.88	0.89	0.49	0.83	0.68	0.38	1.00	1.00
KN807510.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807510.1:1:19310:1 REF	16405	0.96	0.81	0.94	1.00	0.81	1.00	0.92	0.96	0.98	1.00	0.68	0.65	1.00	1.00
KN807536.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807536.1:1:18794:1 REF	18749	0.62	0.61	0.78	0.67	0.64	0.74	0.82	0.72	0.73	0.80	0.85	0.60	0.35	0.77
KN807558.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807558.1:1:18722:1 REF	9181	0.90	0.95	1.00	1.00	0.79	0.85	0.88	0.31	0.79	0.62	0.38	0.95	0.75	1.00
KN807617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807617.1:1:18478:1 REF	7626	0.81	0.82	0.81	1.00	0.76	1.00	0.82	0.98	0.57	0.42	0.93	0.69	1.00	1.00
KN807767.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN807767.1:1:17359:1 REF	6770	0.60	0.38	0.40	0.50	0.52	0.58	0.62	0.59	0.65	0.63	0.64	0.51	0.31	0.72
KN808211.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808211.1:1:15458:1 REF	3196	0.85	0.56	0.90	0.71	0.74	0.76	0.81	0.74	0.77	0.81	0.85	0.90	0.50	0.85
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	48	0.95	0.90	0.94	0.95	0.96	0.87	0.71	0.93	0.89	0.94	0.71	0.87	0.82	0.77
KN808291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808291.1:1:19781:1 REF	55	0.90	0.96	0.99	0.90	0.53	0.93	0.85	0.91	0.96	0.95	0.88	0.93	0.91	0.92
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	5997	0.93	0.90	0.88	0.84	0.94	0.91	0.96	0.91	0.91	0.83	0.88	0.73	0.82	0.90
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6002	0.93	0.81	0.88	0.79	0.94	0.91	0.96	0.91	0.86	0.79	0.97	0.80	0.82	0.97
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6004	0.90	0.91	0.68	0.95	0.88	0.73	0.91	0.91	0.89	0.83	0.91	0.80	0.64	0.79
KN808410.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808410.1:1:11536:1 REF	6036	0.81	0.60	0.96	0.67	0.70	0.83	0.81	0.67	0.80	0.80	0.84	0.94	0.42	0.86
KN808499.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN808499.1:1:14246:1 REF	5425	0.88	0.92	0.81	0.95	0.92	0.77	0.96	0.82	0.94	0.97	0.83	0.83	0.94	0.92
KN809025.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809025.1:1:8556:1 REF	6663	0.86	0.66	0.74	0.88	0.48	0.87	0.85	0.83	0.83	0.92	0.86	0.75	0.64	0.88
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1224	0.93	0.93	0.94	0.82	0.67	1.00	0.88	0.70	0.65	0.96	0.95	0.77	1.00	1.00
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1235	0.91	0.86	0.94	0.71	0.70	0.91	0.84	0.73	0.68	0.96	0.90	0.77	0.22	0.83
KN809150.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809150.1:1:8644:1 REF	1237	0.94	0.79	0.59	0.71	0.50	0.91	0.72	0.96	0.92	0.98	0.93	0.68	0.78	1.00
KN809217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809217.1:1:8054:1 REF	3862	0.10	0.27	0.35	0.13	0.40	0.50	0.44	0.49	0.35	0.28	0.28	0.27	0.13	0.18
KN809225.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809225.1:1:9808:1 REF	9169	0.70	0.91	0.38	1.00	0.90	0.93	0.94	0.90	0.82	0.92	0.86	0.95	0.53	1.00
KN809317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809317.1:1:7841:1 REF	7554	0.73	0.69	0.72	0.68	0.70	0.75	0.41	0.78	0.53	0.69	0.53	0.60	0.38	0.65
KN809941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN809941.1:1:7889:1 REF	1607	0.64	0.64	0.78	0.67	0.65	0.74	0.77	0.72	0.73	0.73	0.85	0.60	0.35	0.77
KN810347.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN810347.1:1:4356:1 REF	4132	0.84	0.80	0.88	0.81	0.75	0.73	0.92	0.83	0.84	0.85	0.90	0.88	0.70	0.85
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222356	0.88	0.73	0.94	0.91	0.96	0.87	0.97	0.97	0.94	0.96	0.89	0.81	1.00	0.89
KN811283.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811283.1:1:3514852:1 REF	2222369	0.74	0.73	0.78	0.92	0.97	1.00	0.97	0.76	0.91	0.96	0.70	0.93	0.89	0.90
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353020	0.56	0.75	0.50	0.56	0.65	0.48	0.81	0.67	0.60	0.63	0.24	0.67	0.30	0.74
KN811285.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811285.1:1:3403873:1 REF	2353072	0.48	0.32	0.34	0.19	0.42	0.69	0.23	0.51	0.35	0.37	0.39	0.67	0.33	0.16
