chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
KN805873.1	282	0.75	0.75	0.76	0.68	0.78	0.65	0.78	0.53
KN805897.1	94541	0.92	0.86	0.91	0.54	0.78	0.73	0.91	1.00
KN805935.1	156808	0.89	0.91	0.93	0.88	0.82	0.82	0.88	0.46
KN805965.1	139854	0.63	0.94	0.69	0.95	0.76	0.93	0.76	0.60
KN805965.1	139856	0.74	0.96	0.94	0.95	0.90	0.71	0.79	0.30
KN805965.1	139865	0.83	0.89	0.92	1.00	0.79	0.93	0.76	0.80
KN805965.1	139879	0.50	0.81	0.79	0.95	0.71	0.86	0.74	0.80
KN806023.1	141281	0.93	0.34	0.27	1.00	0.94	0.95	0.84	0.93
KN806087.1	3229	0.90	0.67	0.78	0.64	0.47	0.80	0.61	1.00
KN806235.1	112665	1.00	0.97	0.99	1.00	1.00	0.97	0.96	1.00
KN806235.1	112692	1.00	0.97	0.63	1.00	1.00	0.97	0.97	1.00
KN806235.1	112698	0.68	1.00	0.64	1.00	1.00	0.97	0.97	1.00
KN806244.1	95807	0.75	0.75	0.74	0.35	0.60	0.83	0.63	0.78
KN806248.1	90335	0.93	0.83	0.52	0.63	0.73	0.57	0.87	0.37
KN806248.1	90347	0.38	0.32	0.44	0.25	0.45	0.24	0.45	0.30
KN806248.1	90378	0.39	0.32	0.47	0.72	0.39	0.42	0.52	0.32
KN806381.1	23900	0.18	0.28	0.18	0.28	0.18	0.33	0.20	0.20
KN806394.1	101359	0.68	0.92	0.99	0.93	0.91	0.93	0.93	0.85
KN806394.1	101362	0.66	0.94	1.00	0.93	0.18	1.00	1.00	1.00
KN806580.1	7942	1.00	0.97	0.72	1.00	1.00	0.97	0.97	1.00
KN806580.1	7948	0.68	1.00	0.73	1.00	1.00	0.97	0.97	1.00
KN806644.1	39222	0.89	0.64	0.80	0.60	0.67	0.93	0.72	0.43
KN806722.1	1909	0.69	0.66	0.79	0.60	0.57	0.47	0.66	0.17
KN806729.1	14618	0.94	0.89	0.92	0.60	0.89	0.44	0.89	0.59
KN806747.1	12860	0.14	0.24	0.10	0.12	0.11	0.12	0.12	0.11
KN806757.1	2368	0.80	0.79	0.75	1.00	0.82	0.47	0.86	0.91
KN807076.1	25703	1.00	0.51	0.79	1.00	1.00	0.69	0.64	1.00
KN807290.1	7512	0.92	0.77	0.77	0.52	0.89	0.91	0.75	0.49
KN807536.1	18749	0.82	0.72	0.73	0.35	0.61	0.83	0.65	0.78
KN808266.1	1092	1.00	0.96	0.66	1.00	1.00	1.00	1.00	1.00
KN808266.1	1098	0.55	1.00	0.68	1.00	1.00	1.00	0.98	1.00
KN808477.1	7444	0.53	0.54	0.81	0.67	0.40	0.46	0.14	0.82
KN808562.1	44353	0.57	0.58	0.73	0.20	0.64	0.25	0.49	0.17
KN808764.1	7649	0.88	0.64	0.74	0.33	0.60	0.43	0.64	0.80
KN808893.1	2863	0.79	0.58	0.80	0.75	0.81	0.84	0.79	1.00
KN809217.1	3877	0.39	0.51	0.37	0.31	0.28	0.11	0.49	0.31
KN809317.1	7554	0.41	0.78	0.53	0.38	0.74	0.47	0.72	0.80
KN809408.1	3752	0.81	0.90	0.83	1.00	0.67	0.27	0.27	1.00
KN809573.1	2912	0.71	0.50	0.79	0.98	0.70	0.93	0.56	0.75
KN809573.1	2942	0.70	0.73	0.75	1.00	0.91	0.73	0.62	0.84
KN809941.1	1607	0.77	0.72	0.73	0.35	0.61	0.82	0.65	0.78
KN810306.1	2961	0.86	0.58	0.75	0.33	0.74	0.43	0.52	0.82
KN811283.1	2222369	0.97	0.76	0.91	0.89	0.97	0.91	0.88	0.40
KN811287.1	2511885	0.28	0.15	0.12	0.15	0.25	0.40	0.11	0.21
KN811289.1	4296839	0.95	0.90	0.94	0.75	0.90	0.73	0.83	0.91
KN811292.1	1653879	0.27	0.26	0.26	0.12	0.29	0.19	0.17	0.12
KN811294.1	1329181	0.91	0.78	0.86	0.60	0.95	0.99	0.59	0.17
KN811294.1	1412393	0.98	0.17	0.56	1.00	0.69	0.17	0.91	0.96
KN811294.1	2931672	0.90	1.00	0.91	1.00	0.92	0.90	0.96	1.00
KN811294.1	2931677	0.92	0.96	0.65	1.00	0.96	0.45	0.94	0.74
KN811294.1	2931703	0.95	1.00	0.96	0.66	0.96	0.97	0.91	0.70
KN811298.1	1744169	0.56	0.51	0.70	0.20	0.63	0.23	0.46	0.17
KN811304.1	2709045	0.92	0.85	0.77	0.52	0.89	0.91	0.85	0.49
KN811309.1	230561	0.96	1.00	0.99	0.96	0.96	0.95	1.00	0.84
KN811314.1	605731	0.89	0.85	0.91	0.60	0.39	0.67	0.68	1.00
KN811315.1	2607427	0.86	1.00	0.91	1.00	0.92	0.93	0.96	1.00
KN811315.1	2607432	0.85	0.93	0.65	0.97	0.94	0.44	0.84	0.74
KN811316.1	29633	0.94	0.97	0.94	1.00	0.91	1.00	0.53	1.00
KN811317.1	2581700	0.81	0.62	0.75	0.52	0.62	0.26	0.70	0.13
KN811317.1	2581720	0.74	0.61	0.75	0.48	0.65	0.20	0.75	0.22
KN811320.1	1898999	1.00	1.00	0.97	1.00	0.76	0.73	1.00	0.93
KN811321.1	457636	0.92	0.92	1.00	1.00	0.88	0.83	0.90	0.97
KN811322.1	2230166	0.93	0.97	1.00	1.00	0.48	1.00	0.67	1.00
KN811329.1	1954173	0.80	1.00	0.60	1.00	0.98	1.00	1.00	1.00
KN811329.1	1954179	1.00	0.92	0.58	1.00	1.00	1.00	1.00	1.00
KN811329.1	1954206	1.00	1.00	1.00	1.00	1.00	0.98	1.00	1.00
KN811335.1	552349	0.39	0.54	0.40	0.33	0.31	0.11	0.54	0.32
KN811335.1	1042000	0.14	0.21	0.42	0.36	0.41	0.33	0.22	0.21
KN811336.1	182541	0.28	0.23	0.23	0.34	0.42	0.25	0.41	0.16
KN811336.1	182573	0.67	0.44	0.56	0.38	0.61	0.81	0.69	0.16
KN811336.1	182580	0.61	0.57	0.65	0.50	0.74	0.75	0.59	1.00
KN811336.1	182586	0.63	0.57	0.72	0.88	0.74	0.81	0.75	0.95
KN811336.1	182715	0.28	0.22	0.23	0.34	0.42	0.25	0.41	0.16
KN811336.1	182747	0.80	0.63	0.68	0.55	0.86	0.85	0.86	0.39
KN811339.1	4465656	0.88	0.89	1.00	0.25	0.93	0.44	0.66	0.91
KN811340.1	1451552	0.50	0.70	0.45	0.67	0.50	0.38	0.18	0.16
KN811341.1	35903	1.00	0.94	0.98	1.00	0.93	1.00	0.95	1.00
KN811341.1	1855800	0.97	0.76	0.93	0.89	0.97	0.91	0.88	0.40
KN811353.1	1290180	0.73	0.66	0.83	0.57	0.43	0.20	0.79	0.45
KN811355.1	1041468	0.94	0.95	0.92	0.63	0.84	0.89	0.94	0.88
KN811356.1	1673857	0.86	0.60	0.77	0.33	0.74	0.43	0.65	0.80
KN811359.1	1838297	0.38	0.54	0.40	0.33	0.31	0.11	0.52	0.32
KN811362.1	853967	0.73	0.82	0.44	0.35	0.87	0.66	0.84	0.40
KN811366.1	1182416	0.83	0.65	0.73	0.33	0.74	0.43	0.53	0.73
KN811373.1	723212	0.24	0.12	0.23	0.15	0.83	0.11	0.57	0.10
KN811374.1	1316046	0.16	0.27	0.10	0.10	0.12	0.25	0.14	0.12
KN811375.1	587201	0.96	1.00	1.00	1.00	0.92	1.00	1.00	1.00
KN811377.1	26268	0.63	0.41	0.73	0.18	0.69	0.29	0.53	0.10
KN811378.1	749454	0.18	0.22	0.26	0.47	0.26	0.20	0.40	0.32
KN811380.1	192073	0.69	0.31	0.39	0.96	0.27	0.29	0.17	0.81
KN811380.1	1738600	0.13	0.15	0.22	0.28	0.18	0.50	0.19	0.20
KN811395.1	1619247	0.38	0.44	0.28	0.92	0.83	0.92	0.96	0.83
KN811409.1	810706	0.66	0.41	0.27	0.76	0.23	0.12	0.61	0.90
KN811409.1	1591922	0.66	0.57	0.72	0.90	0.69	0.81	0.75	0.95
KN811409.1	1591928	0.57	0.59	0.68	0.52	0.74	0.69	0.57	1.00
KN811421.1	1107014	0.95	1.00	0.65	1.00	0.93	1.00	0.98	1.00
KN811421.1	1107020	1.00	0.96	0.64	1.00	1.00	1.00	1.00	1.00
KN811430.1	1282421	0.90	0.92	0.83	0.61	0.89	0.85	0.89	0.63
KN811443.1	280888	0.98	0.97	0.98	0.88	1.00	0.91	0.95	0.67
KN811450.1	1517515	0.45	0.56	0.48	0.94	0.36	0.65	0.38	0.94
KN811454.1	502347	0.97	1.00	0.28	0.96	1.00	1.00	0.94	1.00
KN811454.1	506275	0.97	1.00	1.00	0.96	1.00	1.00	0.94	1.00
KN811463.1	15728	0.33	0.11	0.23	0.38	0.13	0.12	0.45	0.22
KN811468.1	601010	0.90	0.82	0.85	0.79	0.90	0.96	0.85	0.53
KN811468.1	601013	0.90	0.86	0.93	0.86	0.90	0.96	0.85	0.53
KN811470.1	561631	0.94	0.94	0.90	1.00	0.96	0.97	0.93	0.96
KN811478.1	768562	0.54	0.71	0.54	0.32	0.48	0.26	0.49	0.60
KN811487.1	560220	0.77	0.45	1.00	1.00	1.00	0.92	0.90	1.00
KN811526.1	796165	0.80	1.00	0.71	1.00	0.92	1.00	1.00	1.00
KN811526.1	796171	1.00	0.92	0.70	1.00	1.00	1.00	1.00	1.00
KN811528.1	871003	0.17	0.26	0.26	0.60	0.22	0.55	0.34	0.38
KN811528.1	1184739	0.82	0.76	0.90	1.00	0.97	1.00	0.88	0.25
KN811539.1	686918	0.72	0.44	0.77	0.24	0.70	0.36	0.53	0.13
KN811542.1	87350	0.88	1.00	1.00	1.00	0.93	0.95	0.95	1.00
KN811542.1	87356	1.00	0.96	0.98	1.00	1.00	0.95	0.95	1.00
KN811542.1	87383	1.00	1.00	0.97	1.00	1.00	0.95	0.88	1.00
KN811547.1	3877620	0.58	0.43	0.67	0.21	0.69	0.17	0.52	0.17
KN811558.1	68158	0.74	0.75	0.73	0.37	0.61	0.83	0.63	0.78
KN811558.1	316995	0.77	0.93	0.47	0.91	0.89	0.20	0.40	0.87
KN811603.1	394761	0.31	0.14	0.13	0.18	0.29	0.23	0.11	0.24
KN811604.1	628716	0.90	0.74	0.88	1.00	0.93	0.59	0.83	0.86
