chr	DMR.start	DMR.end	DMR	direction	gene.name	gene.start	gene.end	strands	distance	meth.diff	adj.R2	rho	rho.p.val
NC_046368.1	19731588	19731685	DMR_17	hypermethylated	LOC118563944	19728986	19735858	+	0	0.115542	NA	NA	NA
NC_046369.1	12059386	12059739	DMR_18	hypomethylated	LOC118564145	12087612	12088692	-	27873	-0.433292	NA	NA	NA
NC_046369.1	23726159	23726654	DMR_19	hypermethylated	LOC105927826	23732324	23736248	+	5670	0.299375	-0.19	0	1
NC_046369.1	23726159	23726654	DMR_19	hypermethylated	LOC105927826	23732324	23736248	+	5670	0.299375	-0.05	0.41	0.3632
NC_046369.1	23726654	23726719	DMR_20	hypermethylated	LOC105927826	23732324	23736248	+	5605	0.402108	-0.19	0	1
NC_046369.1	23726654	23726719	DMR_20	hypermethylated	LOC105927826	23732324	23736248	+	5605	0.402108	-0.05	0.41	0.3632
NC_046369.1	26223581	26223702	DMR_21	hypomethylated	zbtb7a	26226858	26252573	+	3156	-0.284657	-0.18	0.2	0.6606
NC_046371.1	17982139	17982306	DMR_22	hypomethylated	stard13a	17944685	18024696	+	0	-0.460083	-0.1	-0.18	0.7131
NC_046371.1	17982139	17982306	DMR_22	hypomethylated	LOC118564550	17981925	17982311	-	0	-0.460083	NA	NA	NA
NC_046372.1	34905273	34905447	DMR_23	hypermethylated	trpm6	34893513	34924991	-	0	0.359479	0.23	0.52	0.2274
NC_046372.1	40417548	40417753	DMR_24	hypermethylated	arvcfb	40369488	40598350	-	0	0.358524	0.19	0.57	0.2
NC_046373.1	2165693	2165800	DMR_25	hypomethylated	fndc5b	2158634	2190898	-	0	-0.47724	NA	NA	NA
NC_046373.1	17202992	17203528	DMR_26	hypermethylated	dennd3a	17175213	17223303	+	0	0.34797	0.41	0.68	0.1095
NC_046373.1	17202992	17203528	DMR_26	hypermethylated	LOC118565215	17197450	17203324	+	0	0.34797	NA	NA	NA
NC_046373.1	27407345	27407549	DMR_27	hypermethylated	LOC118565317	27426086	27428318	+	18537	0.265329	NA	NA	NA
NC_046373.1	27557301	27557403	DMR_28	hypermethylated	LOC118565322	27550030	27562404	+	0	0.120455	NA	NA	NA
NC_046373.1	27614761	27614863	DMR_29	hypermethylated	LOC118565325	27613295	27619788	+	0	0.120455	NA	NA	NA
NC_046373.1	27657532	27657634	DMR_30	hypermethylated	LOC118565326	27656221	27672939	+	0	0.120455	NA	NA	NA
NC_046374.1	27454661	27454755	DMR_31	hypermethylated	LOC105935943	27407637	27451764	-	-2898	0.524318	0.55	0.71	0.0881
NC_046374.1	27463307	27463401	DMR_32	hypermethylated	LOC110369389	27464697	27501424	-	1296	0.524318	0.35	0.71	0.0881
NC_046375.1	11676986	11677522	DMR_33	hypermethylated	stxbp5a	11553936	11702696	+	0	0.352333	-0.18	-0.2	0.6606
NC_046375.1	31651602	31651650	DMR_34	hypermethylated	LOC110367414	31591799	31596592	+	-55011	0.429615	NA	NA	NA
NC_046376.1	25055497	25055708	DMR_35	hypermethylated	LOC105939426	25013477	25108667	-	0	0.27016	NA	NA	NA
NC_046376.1	37591094	37591178	DMR_36	hypermethylated	LOC110367187	37588876	37602964	+	0	0.11875	-0.14	-0.19	0.6786
NC_046376.1	37591094	37591178	DMR_36	hypermethylated	LOC105919934	37590909	37607986	-	0	0.11875	-0.05	-0.43	0.3351
NC_046381.1	2086896	2086990	DMR_37	hypermethylated	LOC118556935	2060493	2084343	+	-2554	0.524318	NA	NA	NA
NC_046381.1	2095296	2095390	DMR_38	hypermethylated	LOC118556935	2060493	2084343	+	-10954	0.524318	NA	NA	NA
NC_046381.1	2103821	2103915	DMR_39	hypermethylated	LOC118556860	2111838	2230019	-	7923	0.524318	NA	NA	NA
NC_046381.1	6070824	6070974	DMR_40	hypermethylated	LOC105935743	5924381	6113357	-	0	0.253524	NA	NA	NA
NC_046381.1	12584417	12584951	DMR_41	hypermethylated	LOC118556781	12576602	12584587	+	0	0.321075	NA	NA	NA
NC_046381.1	12601543	12601970	DMR_42	hypermethylated	LOC118556781	12576602	12584587	+	-16957	0.327868	NA	NA	NA
NC_046381.1	26132547	26132997	DMR_43	hypermethylated	LOC118556979	26001194	26003043	+	-129505	0.349842	-0.17	0	1
NC_046381.1	33303844	33304404	DMR_44	hypermethylated	cpne3	33297479	33320567	+	0	0.342642	0.08	0.41	0.3553
NC_046382.1	24016638	24016801	DMR_45	hypermethylated	pax2a	24040371	24080476	+	23570	0.295417	NA	NA	NA
NC_046383.1	26686118	26686700	DMR_46	hypermethylated	ctnna1	26698798	26782758	+	12098	0.282758	0.39	0.57	0.2
NC_046383.1	39015627	39015700	DMR_47	hypermethylated	LOC105937346	38972023	38980340	-	-35288	0.102917	0.61	0.86	0.012
NW_023396522.1	97637	97781	DMR_48	hypermethylated	hspa8	70014	73436	+	-24202	0.242738	0.48	0.57	0.2
NW_023396562.1	429896	430444	DMR_49	hypermethylated	lhx1a	438376	446510	-	7932	0.344729	NA	NA	NA
NW_023396625.1	144045	144147	DMR_50	hypermethylated	st6galnac4	142518	156579	+	0	0.120455	-0.2	-0.14	0.7575
NW_023396791.1	34994	35419	DMR_51	hypomethylated	LOC118560071	43846	47133	+	8427	-0.421268	NA	NA	NA
NW_023396896.1	80231	80551	DMR_52	hypermethylated	LOC110367853	46679	77663	-	-2569	0.149949	NA	NA	NA
NW_023396934.1	1713667	1713740	DMR_53	hypermethylated	LOC118560894	1806267	1808977	-	92527	0.108472	NA	NA	NA
NW_023396996.1	13470	13616	DMR_54	hypermethylated	LOC118561134	8507	13529	+	0	0.161373	NA	NA	NA
NW_023397044.1	1608779	1608864	DMR_55	hypermethylated	fbl	1573817	1583372	+	-25408	0.452222	0.37	0.75	0.0663
NW_023397045.1	59900	59948	DMR_56	hypermethylated	LOC118561341	65432	67151	-	5484	0.427692	-0.18	0.22	0.6312
NW_023397099.1	1670517	1670680	DMR_57	hypermethylated	LOC118561538	1746268	1836170	+	75588	0.293516	NA	NA	NA
NW_023397202.1	16469	16563	DMR_58	hypermethylated	LOC105923802	20693	41530	+	4130	0.524318	0.62	0.77	0.0408
NW_023397461.1	628556	629582	DMR_59	hypermethylated	LOC105921157	626828	628013	-	-544	0.307403	0.1	0.34	0.4523
